sn,date,branch,pizza_sold,price,quantity,time,time_range,sales_amount,pizza_exists
30,2015-12-06,Lekki,Chicken Bali,2000.0,4,08:00:56,Before 9:00am,8000.0,True
31,2015-12-03,Lekki,Chicken Feast,2000.0,3,08:00:57,Before 9:00am,6000.0,True
32,2015-12-05,Ikoyi,Veggie Supreme,3000.0,2,08:00:57,Before 9:00am,6000.0,True
33,2015-12-13,Gbagada,Extravaganza,2000.0,4,08:01:00,Before 9:00am,8000.0,True
34,2015-12-13,Ibadan,Pepperoni Suya,3000.0,4,08:01:01,Before 9:00am,12000.0,True
35,2015-12-04,Gbagada,Veggie Supreme,3000.0,2,08:01:02,Before 9:00am,6000.0,True
36,2015-12-08,Ikoyi,Extravaganza,2000.0,2,08:01:08,Before 9:00am,4000.0,True
37,2015-12-11,Lekki,Italiano,3000.0,2,08:01:14,Before 9:00am,6000.0,True
38,2015-12-09,Lekki,BBQ Philly Steak,4000.0,2,08:01:16,Before 9:00am,8000.0,True
39,2015-12-14,Ibadan,Pepperoni Feast,4000.0,5,08:01:16,Before 9:00am,20000.0,True
40,2015-12-05,Lekki,Chicken Bali,2000.0,4,08:01:17,Before 9:00am,8000.0,True
41,2015-12-05,Lekki,Pepperoni Suya,3000.0,2,08:01:18,Before 9:00am,6000.0,True
42,2015-12-10,Gbagada,BBQ Philly Steak,4000.0,5,08:01:20,Before 9:00am,20000.0,True
43,2015-12-12,Surulere,Chicken Bali,2000.0,3,08:01:21,Before 9:00am,6000.0,True
44,2015-12-11,Gbagada,Italiano,3000.0,5,08:01:22,Before 9:00am,15000.0,True
45,2015-12-10,Gbagada,BBQ Philly Steak,4000.0,4,08:01:26,Before 9:00am,16000.0,True
46,2015-12-08,Lekki,Hot Pepperoni Feast,4000.0,5,08:01:28,Before 9:00am,20000.0,True
47,2015-12-09,Lekki,Chicken Legend,2000.0,2,08:01:31,Before 9:00am,4000.0,True
48,2015-12-07,Lekki,Chicken Bali,2000.0,2,08:01:32,Before 9:00am,4000.0,True
49,2015-12-12,Lekki,BBQ Philly Steak,4000.0,1,08:01:34,Before 9:00am,4000.0,True
50,2015-12-06,Surulere,BBQ Chicken,4000.0,4,08:01:34,Before 9:00am,16000.0,True
51,2015-12-05,Ikoyi,Pepperoni Feast,4000.0,4,08:01:35,Before 9:00am,16000.0,True
52,2015-12-12,Gbagada,BBQ Philly Steak,4000.0,1,08:01:36,Before 9:00am,4000.0,True
53,2015-12-14,Ibadan,BBQ Philly Steak,4000.0,4,08:01:36,Before 9:00am,16000.0,True
54,2015-12-14,Ibadan,Pepperoni Suya,3000.0,2,08:01:37,Before 9:00am,6000.0,True
55,2015-12-08,Gbagada,Veggie Supreme,3000.0,5,08:01:37,Before 9:00am,15000.0,True
56,2015-12-03,Surulere,Chicken Suya,4000.0,5,08:01:39,Before 9:00am,20000.0,True
57,2015-12-05,Surulere,Margarita,4000.0,4,08:01:43,Before 9:00am,16000.0,True
58,2015-12-13,Surulere,Chicken Bali,2000.0,5,08:01:44,Before 9:00am,10000.0,True
59,2015-12-09,Gbagada,Meatzaa,2000.0,5,08:01:44,Before 9:00am,10000.0,True
60,2015-12-09,Surulere,BBQ Philly Steak,4000.0,3,08:01:46,Before 9:00am,12000.0,True
61,2015-12-11,Lekki,Pepperoni Suya,3000.0,5,08:01:48,Before 9:00am,15000.0,True
62,2015-12-06,Gbagada,Chicken Feast,2000.0,5,08:01:49,Before 9:00am,10000.0,True
63,2015-12-11,Gbagada,Chicken Feast,2000.0,4,08:01:52,Before 9:00am,8000.0,True
64,2015-12-05,Gbagada,Chicken Suya,4000.0,2,08:01:54,Before 9:00am,8000.0,True
65,2015-12-14,Ibadan,Chicken Legend,2000.0,3,08:01:55,Before 9:00am,6000.0,True
66,2015-12-15,Ikoyi,Chicken Feast,2000.0,4,08:01:56,Before 9:00am,8000.0,True
67,2015-12-10,Lekki,Chicken Bali,2000.0,1,08:02:03,Before 9:00am,2000.0,True
68,2015-12-08,Ikoyi,Pepperoni Suya,3000.0,1,08:02:03,Before 9:00am,3000.0,True
69,2015-12-14,Lekki,Pepperoni Feast,4000.0,3,08:02:04,Before 9:00am,12000.0,True
70,2015-12-03,Ibadan,Beef Suya,3000.0,3,08:02:05,Before 9:00am,9000.0,True
71,2015-12-03,Surulere,BBQ Chicken,4000.0,1,08:02:06,Before 9:00am,4000.0,True
72,2015-12-10,Ikoyi,Pepperoni Feast,4000.0,3,08:02:10,Before 9:00am,12000.0,True
73,2015-12-07,Ibadan,Pepperoni Feast,4000.0,5,08:02:13,Before 9:00am,20000.0,True
74,2015-12-08,Ikoyi,BBQ Chicken,4000.0,2,08:02:13,Before 9:00am,8000.0,True
75,2015-12-06,Gbagada,Extravaganza,2000.0,5,08:02:18,Before 9:00am,10000.0,True
76,2015-12-09,Lekki,Chicken Legend,2000.0,1,08:02:18,Before 9:00am,2000.0,True
77,2015-12-06,Ikoyi,Pepperoni Suya,3000.0,2,08:02:22,Before 9:00am,6000.0,True
78,2015-12-13,Gbagada,Hot Veggie,4000.0,2,08:02:22,Before 9:00am,8000.0,True
79,2015-12-07,Lekki,Extravaganza,2000.0,3,08:02:30,Before 9:00am,6000.0,True
80,2015-12-04,Surulere,Chicken Suya,4000.0,3,08:02:31,Before 9:00am,12000.0,True
81,2015-12-03,Ibadan,Pepperoni Feast,4000.0,5,08:02:35,Before 9:00am,20000.0,True
82,2015-12-12,Ikoyi,Pepperoni Feast,4000.0,3,08:02:36,Before 9:00am,12000.0,True
83,2015-12-04,Lekki,BBQ Chicken,4000.0,3,08:02:37,Before 9:00am,12000.0,True
84,2015-12-08,Ibadan,BBQ Philly Steak,4000.0,4,08:02:38,Before 9:00am,16000.0,True
85,2015-12-05,Lekki,Hot Veggie,4000.0,5,08:02:38,Before 9:00am,20000.0,True
86,2015-12-13,Lekki,Chicken Bali,2000.0,1,08:02:42,Before 9:00am,2000.0,True
87,2015-12-05,Ibadan,Beef Suya,3000.0,2,08:02:44,Before 9:00am,6000.0,True
88,2015-12-04,Surulere,BBQ Philly Steak,4000.0,2,08:02:46,Before 9:00am,8000.0,True
89,2015-12-07,Ikoyi,Veggie Supreme,3000.0,4,08:02:47,Before 9:00am,12000.0,True
90,2015-12-09,Surulere,Chicken Suya,4000.0,1,08:02:47,Before 9:00am,4000.0,True
91,2015-12-10,Ibadan,BBQ Chicken,4000.0,5,08:02:49,Before 9:00am,20000.0,True
92,2015-12-07,Ikoyi,BBQ Philly Steak,4000.0,4,08:02:50,Before 9:00am,16000.0,True
93,2015-12-14,Ibadan,Meatzaa,2000.0,5,08:02:50,Before 9:00am,10000.0,True
94,2015-12-05,Gbagada,Hot Veggie,4000.0,5,08:02:55,Before 9:00am,20000.0,True
95,2015-12-11,Ikoyi,Italiano,3000.0,2,08:03:00,Before 9:00am,6000.0,True
96,2015-12-04,Ikoyi,BBQ Philly Steak,4000.0,3,08:03:01,Before 9:00am,12000.0,True
97,2015-12-04,Surulere,Chicken Legend,2000.0,1,08:03:02,Before 9:00am,2000.0,True
98,2015-12-14,Surulere,Hot Pepperoni Feast,4000.0,2,08:03:05,Before 9:00am,8000.0,True
99,2015-12-05,Gbagada,Hot Pepperoni Feast,4000.0,4,08:03:05,Before 9:00am,16000.0,True
100,2015-12-15,Ikoyi,BBQ Philly Steak,4000.0,4,08:03:09,Before 9:00am,16000.0,True
101,2015-12-14,Lekki,Veggie Supreme,3000.0,3,08:03:10,Before 9:00am,9000.0,True
102,2015-12-04,Surulere,Chicken Suya,4000.0,5,08:03:10,Before 9:00am,20000.0,True
103,2015-12-07,Ikoyi,Pepperoni Suya,3000.0,5,08:03:15,Before 9:00am,15000.0,True
104,2015-12-05,Surulere,Chicken Bali,2000.0,4,08:03:17,Before 9:00am,8000.0,True
105,2015-12-09,Gbagada,Extravaganza,2000.0,4,08:03:18,Before 9:00am,8000.0,True
106,2015-12-14,Ibadan,Veggie Supreme,3000.0,5,08:03:22,Before 9:00am,15000.0,True
107,2015-12-11,Gbagada,Pepperoni Feast,4000.0,3,08:03:25,Before 9:00am,12000.0,True
108,2015-12-08,Gbagada,Chicken Suya,4000.0,5,08:03:26,Before 9:00am,20000.0,True
109,2015-12-12,Surulere,Italiano,3000.0,1,08:03:27,Before 9:00am,3000.0,True
110,2015-12-05,Ikoyi,Margarita,4000.0,4,08:03:28,Before 9:00am,16000.0,True
111,2015-12-07,Surulere,Chicken Suya,4000.0,5,08:03:29,Before 9:00am,20000.0,True
112,2015-12-09,Ibadan,Meatzaa,2000.0,4,08:03:29,Before 9:00am,8000.0,True
113,2015-12-03,Lekki,Veggie Supreme,3000.0,2,08:03:31,Before 9:00am,6000.0,True
114,2015-12-05,Ikoyi,Chicken Bali,2000.0,3,08:03:32,Before 9:00am,6000.0,True
115,2015-12-09,Gbagada,Italiano,3000.0,3,08:03:32,Before 9:00am,9000.0,True
116,2015-12-06,Lekki,Hot Pepperoni Feast,4000.0,4,08:03:32,Before 9:00am,16000.0,True
117,2015-12-10,Surulere,Pepperoni Suya,3000.0,4,08:03:33,Before 9:00am,12000.0,True
118,2015-12-03,Ibadan,Beef Suya,3000.0,3,08:03:36,Before 9:00am,9000.0,True
119,2015-12-07,Lekki,Veggie Supreme,3000.0,5,08:03:39,Before 9:00am,15000.0,True
120,2015-12-13,Surulere,Italiano,3000.0,4,08:03:44,Before 9:00am,12000.0,True
121,2015-12-07,Ibadan,Hot Pepperoni Feast,4000.0,2,08:03:44,Before 9:00am,8000.0,True
122,2015-12-10,Gbagada,Chicken Suya,4000.0,2,08:03:52,Before 9:00am,8000.0,True
123,2015-12-12,Lekki,Veggie Supreme,3000.0,4,08:03:53,Before 9:00am,12000.0,True
124,2015-12-03,Ibadan,Meatzaa,2000.0,4,08:03:54,Before 9:00am,8000.0,True
125,2015-12-03,Ibadan,Hot Veggie,4000.0,5,08:03:54,Before 9:00am,20000.0,True
126,2015-12-13,Ikoyi,BBQ Philly Steak,4000.0,4,08:03:54,Before 9:00am,16000.0,True
127,2015-12-11,Ikoyi,Beef Suya,3000.0,1,08:03:57,Before 9:00am,3000.0,True
128,2015-12-08,Lekki,Veggie Supreme,3000.0,3,08:04:00,Before 9:00am,9000.0,True
129,2015-12-12,Lekki,Hot Veggie,4000.0,2,08:04:01,Before 9:00am,8000.0,True
130,2015-12-10,Gbagada,Margarita,4000.0,4,08:04:04,Before 9:00am,16000.0,True
131,2015-12-10,Ibadan,Chicken Legend,2000.0,1,08:04:07,Before 9:00am,2000.0,True
132,2015-12-06,Gbagada,Veggie Supreme,3000.0,1,08:04:13,Before 9:00am,3000.0,True
133,2015-12-11,Surulere,Hot Veggie,4000.0,5,08:04:14,Before 9:00am,20000.0,True
134,2015-12-07,Lekki,Pepperoni Suya,3000.0,4,08:04:18,Before 9:00am,12000.0,True
135,2015-12-15,Gbagada,BBQ Philly Steak,4000.0,4,08:04:18,Before 9:00am,16000.0,True
136,2015-12-11,Gbagada,Meatzaa,2000.0,5,08:04:19,Before 9:00am,10000.0,True
137,2015-12-03,Ibadan,Beef Suya,3000.0,2,08:04:20,Before 9:00am,6000.0,True
138,2015-12-06,Ibadan,Pepperoni Feast,4000.0,5,08:04:21,Before 9:00am,20000.0,True
139,2015-12-05,Ibadan,BBQ Philly Steak,4000.0,2,08:04:21,Before 9:00am,8000.0,True
140,2015-12-04,Gbagada,Margarita,4000.0,1,08:04:21,Before 9:00am,4000.0,True
141,2015-12-15,Lekki,Chicken Suya,4000.0,2,08:04:24,Before 9:00am,8000.0,True
142,2015-12-13,Lekki,Chicken Bali,2000.0,2,08:04:27,Before 9:00am,4000.0,True
143,2015-12-03,Lekki,Margarita,4000.0,3,08:04:28,Before 9:00am,12000.0,True
144,2015-12-15,Ikoyi,Pepperoni Feast,4000.0,5,08:04:35,Before 9:00am,20000.0,True
145,2015-12-11,Ikoyi,Pepperoni Feast,4000.0,3,08:04:35,Before 9:00am,12000.0,True
146,2015-12-13,Ikoyi,Beef Suya,3000.0,1,08:04:40,Before 9:00am,3000.0,True
147,2015-12-12,Ibadan,Hot Pepperoni Feast,4000.0,5,08:04:41,Before 9:00am,20000.0,True
148,2015-12-08,Ikoyi,Pepperoni Suya,3000.0,1,08:04:42,Before 9:00am,3000.0,True
149,2015-12-15,Lekki,Chicken Suya,4000.0,3,08:04:43,Before 9:00am,12000.0,True
150,2015-12-05,Surulere,Hot Pepperoni Feast,4000.0,2,08:04:44,Before 9:00am,8000.0,True
151,2015-12-14,Ibadan,Chicken Legend,2000.0,5,08:04:45,Before 9:00am,10000.0,True
152,2015-12-04,Surulere,Extravaganza,2000.0,5,08:04:50,Before 9:00am,10000.0,True
153,2015-12-14,Gbagada,Beef Suya,3000.0,2,08:04:50,Before 9:00am,6000.0,True
154,2015-12-10,Lekki,Extravaganza,2000.0,4,08:04:53,Before 9:00am,8000.0,True
155,2015-12-11,Lekki,Pepperoni Suya,3000.0,2,08:04:55,Before 9:00am,6000.0,True
156,2015-12-09,Ibadan,BBQ Philly Steak,4000.0,3,08:04:56,Before 9:00am,12000.0,True
157,2015-12-06,Gbagada,Italiano,3000.0,1,08:04:56,Before 9:00am,3000.0,True
158,2015-12-15,Ikoyi,Extravaganza,2000.0,1,08:05:00,Before 9:00am,2000.0,True
159,2015-12-06,Surulere,BBQ Philly Steak,4000.0,2,08:05:03,Before 9:00am,8000.0,True
160,2015-12-13,Gbagada,Italiano,3000.0,1,08:05:06,Before 9:00am,3000.0,True
161,2015-12-13,Surulere,Chicken Legend,2000.0,2,08:05:10,Before 9:00am,4000.0,True
162,2015-12-07,Ikoyi,Italiano,3000.0,4,08:05:11,Before 9:00am,12000.0,True
163,2015-12-12,Ibadan,Hot Veggie,4000.0,4,08:05:11,Before 9:00am,16000.0,True
164,2015-12-06,Ibadan,Chicken Feast,2000.0,3,08:05:11,Before 9:00am,6000.0,True
165,2015-12-09,Ikoyi,Meatzaa,2000.0,2,08:05:12,Before 9:00am,4000.0,True
166,2015-12-15,Ikoyi,Margarita,4000.0,5,08:05:12,Before 9:00am,20000.0,True
167,2015-12-05,Lekki,Hot Pepperoni Feast,4000.0,5,08:05:14,Before 9:00am,20000.0,True
168,2015-12-12,Ibadan,BBQ Chicken,4000.0,3,08:05:23,Before 9:00am,12000.0,True
169,2015-12-07,Lekki,Hot Pepperoni Feast,4000.0,5,08:05:23,Before 9:00am,20000.0,True
170,2015-12-03,Ikoyi,Chicken Legend,2000.0,4,08:05:23,Before 9:00am,8000.0,True
171,2015-12-13,Surulere,Chicken Bali,2000.0,3,08:05:25,Before 9:00am,6000.0,True
172,2015-12-07,Surulere,Chicken Suya,4000.0,5,08:05:25,Before 9:00am,20000.0,True
173,2015-12-10,Surulere,Hot Pepperoni Feast,4000.0,4,08:05:25,Before 9:00am,16000.0,True
174,2015-12-14,Surulere,Hot Pepperoni Feast,4000.0,2,08:05:28,Before 9:00am,8000.0,True
175,2015-12-14,Gbagada,Chicken Feast,2000.0,1,08:05:32,Before 9:00am,2000.0,True
176,2015-12-12,Lekki,BBQ Chicken,4000.0,2,08:05:34,Before 9:00am,8000.0,True
177,2015-12-06,Ikoyi,Extravaganza,2000.0,1,08:05:34,Before 9:00am,2000.0,True
178,2015-12-05,Ibadan,Meatzaa,2000.0,2,08:05:34,Before 9:00am,4000.0,True
179,2015-12-15,Ikoyi,Pepperoni Feast,4000.0,3,08:05:37,Before 9:00am,12000.0,True
180,2015-12-09,Gbagada,Hot Pepperoni Feast,4000.0,1,08:05:38,Before 9:00am,4000.0,True
181,2015-12-13,Ibadan,BBQ Chicken,4000.0,3,08:05:39,Before 9:00am,12000.0,True
182,2015-12-12,Ibadan,BBQ Chicken,4000.0,4,08:05:40,Before 9:00am,16000.0,True
183,2015-12-11,Ikoyi,Chicken Feast,2000.0,3,08:05:41,Before 9:00am,6000.0,True
184,2015-12-04,Surulere,Beef Suya,3000.0,1,08:05:41,Before 9:00am,3000.0,True
185,2015-12-10,Surulere,Extravaganza,2000.0,1,08:05:43,Before 9:00am,2000.0,True
186,2015-12-06,Surulere,Pepperoni Feast,4000.0,2,08:05:44,Before 9:00am,8000.0,True
187,2015-12-14,Gbagada,Beef Suya,3000.0,4,08:05:46,Before 9:00am,12000.0,True
188,2015-12-11,Surulere,Veggie Supreme,3000.0,3,08:05:47,Before 9:00am,9000.0,True
189,2015-12-10,Gbagada,Meatzaa,2000.0,5,08:05:51,Before 9:00am,10000.0,True
190,2015-12-06,Gbagada,Chicken Bali,2000.0,3,08:05:53,Before 9:00am,6000.0,True
191,2015-12-15,Gbagada,Pepperoni Suya,3000.0,1,08:05:53,Before 9:00am,3000.0,True
192,2015-12-15,Ikoyi,Pepperoni Suya,3000.0,5,08:05:55,Before 9:00am,15000.0,True
193,2015-12-03,Ikoyi,Veggie Supreme,3000.0,3,08:05:55,Before 9:00am,9000.0,True
194,2015-12-12,Gbagada,BBQ Philly Steak,4000.0,3,08:05:56,Before 9:00am,12000.0,True
195,2015-12-03,Gbagada,Margarita,4000.0,4,08:06:00,Before 9:00am,16000.0,True
196,2015-12-13,Lekki,BBQ Chicken,4000.0,4,08:06:01,Before 9:00am,16000.0,True
197,2015-12-10,Lekki,Beef Suya,3000.0,1,08:06:01,Before 9:00am,3000.0,True
198,2015-12-07,Ibadan,BBQ Chicken,4000.0,1,08:06:03,Before 9:00am,4000.0,True
199,2015-12-12,Ikoyi,Beef Suya,3000.0,4,08:06:07,Before 9:00am,12000.0,True
200,2015-12-08,Gbagada,Pepperoni Feast,4000.0,3,08:06:08,Before 9:00am,12000.0,True
201,2015-12-07,Lekki,Hot Pepperoni Feast,4000.0,2,08:06:10,Before 9:00am,8000.0,True
202,2015-12-14,Surulere,Hot Pepperoni Feast,4000.0,4,08:06:10,Before 9:00am,16000.0,True
203,2015-12-05,Gbagada,Pepperoni Feast,4000.0,3,08:06:12,Before 9:00am,12000.0,True
204,2015-12-14,Lekki,Chicken Bali,2000.0,5,08:06:22,Before 9:00am,10000.0,True
205,2015-12-09,Gbagada,BBQ Chicken,4000.0,5,08:06:22,Before 9:00am,20000.0,True
206,2015-12-10,Ikoyi,Chicken Legend,2000.0,2,08:06:28,Before 9:00am,4000.0,True
207,2015-12-07,Ibadan,Hot Veggie,4000.0,5,08:06:30,Before 9:00am,20000.0,True
208,2015-12-10,Ibadan,BBQ Philly Steak,4000.0,4,08:06:32,Before 9:00am,16000.0,True
209,2015-12-12,Ibadan,Margarita,4000.0,4,08:06:33,Before 9:00am,16000.0,True
210,2015-12-03,Ibadan,Meatzaa,2000.0,1,08:06:33,Before 9:00am,2000.0,True
211,2015-12-10,Gbagada,Extravaganza,2000.0,5,08:06:37,Before 9:00am,10000.0,True
212,2015-12-06,Gbagada,Meatzaa,2000.0,4,08:06:37,Before 9:00am,8000.0,True
213,2015-12-09,Gbagada,BBQ Chicken,4000.0,2,08:06:40,Before 9:00am,8000.0,True
214,2015-12-03,Gbagada,Veggie Supreme,3000.0,3,08:06:45,Before 9:00am,9000.0,True
215,2015-12-11,Ikoyi,BBQ Chicken,4000.0,5,08:06:46,Before 9:00am,20000.0,True
216,2015-12-08,Ikoyi,BBQ Philly Steak,4000.0,2,08:06:46,Before 9:00am,8000.0,True
217,2015-12-14,Ikoyi,Margarita,4000.0,1,08:06:50,Before 9:00am,4000.0,True
218,2015-12-11,Ibadan,Hot Veggie,4000.0,5,08:06:50,Before 9:00am,20000.0,True
219,2015-12-08,Gbagada,Chicken Legend,2000.0,5,08:06:51,Before 9:00am,10000.0,True
220,2015-12-10,Ikoyi,Hot Veggie,4000.0,3,08:06:53,Before 9:00am,12000.0,True
221,2015-12-15,Ikoyi,Chicken Legend,2000.0,5,08:06:54,Before 9:00am,10000.0,True
222,2015-12-13,Surulere,Veggie Supreme,3000.0,4,08:06:55,Before 9:00am,12000.0,True
223,2015-12-10,Ikoyi,Pepperoni Suya,3000.0,3,08:06:57,Before 9:00am,9000.0,True
224,2015-12-13,Surulere,Meatzaa,2000.0,4,08:07:00,Before 9:00am,8000.0,True
225,2015-12-03,Gbagada,Chicken Bali,2000.0,2,08:07:03,Before 9:00am,4000.0,True
226,2015-12-12,Ibadan,Veggie Supreme,3000.0,3,08:07:03,Before 9:00am,9000.0,True
227,2015-12-07,Lekki,Hot Pepperoni Feast,4000.0,5,08:07:04,Before 9:00am,20000.0,True
228,2015-12-10,Lekki,BBQ Philly Steak,4000.0,5,08:07:04,Before 9:00am,20000.0,True
229,2015-12-03,Gbagada,Margarita,4000.0,2,08:07:05,Before 9:00am,8000.0,True
230,2015-12-10,Ikoyi,Chicken Legend,2000.0,3,08:07:05,Before 9:00am,6000.0,True
231,2015-12-06,Ibadan,BBQ Chicken,4000.0,3,08:07:07,Before 9:00am,12000.0,True
232,2015-12-05,Lekki,Hot Veggie,4000.0,1,08:07:07,Before 9:00am,4000.0,True
233,2015-12-06,Gbagada,Hot Veggie,4000.0,3,08:07:16,Before 9:00am,12000.0,True
234,2015-12-06,Lekki,Chicken Suya,4000.0,1,08:07:16,Before 9:00am,4000.0,True
235,2015-12-04,Surulere,Pepperoni Feast,4000.0,3,08:07:21,Before 9:00am,12000.0,True
236,2015-12-13,Ikoyi,Hot Pepperoni Feast,4000.0,3,08:07:21,Before 9:00am,12000.0,True
237,2015-12-08,Gbagada,Extravaganza,2000.0,4,08:07:22,Before 9:00am,8000.0,True
238,2015-12-09,Ikoyi,Meatzaa,2000.0,1,08:07:23,Before 9:00am,2000.0,True
239,2015-12-06,Gbagada,Veggie Supreme,3000.0,4,08:07:23,Before 9:00am,12000.0,True
240,2015-12-15,Ibadan,Hot Pepperoni Feast,4000.0,4,08:07:25,Before 9:00am,16000.0,True
241,2015-12-12,Ikoyi,Extravaganza,2000.0,1,08:07:26,Before 9:00am,2000.0,True
242,2015-12-08,Ikoyi,BBQ Chicken,4000.0,5,08:07:28,Before 9:00am,20000.0,True
243,2015-12-05,Gbagada,Extravaganza,2000.0,3,08:07:30,Before 9:00am,6000.0,True
244,2015-12-09,Gbagada,Meatzaa,2000.0,1,08:07:42,Before 9:00am,2000.0,True
245,2015-12-03,Surulere,Hot Pepperoni Feast,4000.0,3,08:07:42,Before 9:00am,12000.0,True
246,2015-12-09,Lekki,Beef Suya,3000.0,5,08:07:43,Before 9:00am,15000.0,True
247,2015-12-10,Surulere,Margarita,4000.0,3,08:07:46,Before 9:00am,12000.0,True
248,2015-12-07,Gbagada,Hot Pepperoni Feast,4000.0,1,08:07:49,Before 9:00am,4000.0,True
249,2015-12-08,Ikoyi,Chicken Bali,2000.0,4,08:07:49,Before 9:00am,8000.0,True
250,2015-12-07,Ikoyi,Meatzaa,2000.0,2,08:07:50,Before 9:00am,4000.0,True
251,2015-12-08,Ikoyi,BBQ Philly Steak,4000.0,2,08:07:50,Before 9:00am,8000.0,True
252,2015-12-05,Lekki,Pepperoni Feast,4000.0,2,08:07:56,Before 9:00am,8000.0,True
253,2015-12-11,Gbagada,Chicken Feast,2000.0,5,08:07:56,Before 9:00am,10000.0,True
254,2015-12-03,Ibadan,Veggie Supreme,3000.0,5,08:07:59,Before 9:00am,15000.0,True
255,2015-12-04,Ikoyi,Pepperoni Feast,4000.0,4,08:08:01,Before 9:00am,16000.0,True
256,2015-12-05,Lekki,Extravaganza,2000.0,1,08:08:03,Before 9:00am,2000.0,True
257,2015-12-07,Lekki,Chicken Bali,2000.0,5,08:08:04,Before 9:00am,10000.0,True
258,2015-12-13,Lekki,Meatzaa,2000.0,3,08:08:04,Before 9:00am,6000.0,True
259,2015-12-04,Ibadan,Pepperoni Feast,4000.0,4,08:08:11,Before 9:00am,16000.0,True
260,2015-12-14,Ibadan,Veggie Supreme,3000.0,1,08:08:12,Before 9:00am,3000.0,True
261,2015-12-09,Gbagada,Hot Veggie,4000.0,1,08:08:17,Before 9:00am,4000.0,True
262,2015-12-06,Gbagada,Italiano,3000.0,4,08:08:25,Before 9:00am,12000.0,True
263,2015-12-05,Lekki,Italiano,3000.0,3,08:08:25,Before 9:00am,9000.0,True
264,2015-12-15,Gbagada,Chicken Legend,2000.0,3,08:08:27,Before 9:00am,6000.0,True
265,2015-12-15,Lekki,Meatzaa,2000.0,4,08:08:29,Before 9:00am,8000.0,True
266,2015-12-14,Ikoyi,BBQ Chicken,4000.0,1,08:08:31,Before 9:00am,4000.0,True
267,2015-12-07,Ikoyi,BBQ Philly Steak,4000.0,1,08:08:32,Before 9:00am,4000.0,True
268,2015-12-06,Surulere,Chicken Suya,4000.0,2,08:08:33,Before 9:00am,8000.0,True
269,2015-12-04,Surulere,Veggie Supreme,3000.0,4,08:08:34,Before 9:00am,12000.0,True
270,2015-12-08,Lekki,Chicken Bali,2000.0,1,08:08:35,Before 9:00am,2000.0,True
