sn,date,branch,pizza_sold,price,quantity,time,time_range
133,2015-12-11,Surulere,Hot Veggie,4000,5,08:04:14,Before 9:00am
134,2015-12-07,Lekki,Pepperoni Suya,3000,4,08:04:18,Before 9:00am
135,2015-12-15,Gbagada,BBQ Philly Steak,4000,4,08:04:18,Before 9:00am
136,2015-12-11,Gbagada,Meatzaa,2000,5,08:04:19,Before 9:00am
137,2015-12-03,Ibadan,Beef Suya,3000,2,08:04:20,Before 9:00am
138,2015-12-06,Ibadan,Pepperoni Feast,4000,5,08:04:21,Before 9:00am
139,2015-12-05,Ibadan,BBQ Philly Steak,4000,2,08:04:21,Before 9:00am
140,2015-12-04,Gbagada,Margarita,4000,1,08:04:21,Before 9:00am
141,2015-12-15,Lekki,Chicken Suya,4000,2,08:04:24,Before 9:00am
142,2015-12-13,Lekki,Chicken Bali,2000,2,08:04:27,Before 9:00am
143,2015-12-03,Lekki,Margarita,4000,3,08:04:28,Before 9:00am
144,2015-12-15,Ikoyi,Pepperoni Feast,4000,5,08:04:35,Before 9:00am
145,2015-12-11,Ikoyi,Pepperoni Feast,4000,3,08:04:35,Before 9:00am
146,2015-12-13,Ikoyi,Beef Suya,3000,1,08:04:40,Before 9:00am
147,2015-12-12,Ibadan,Hot Pepperoni Feast,4000,5,08:04:41,Before 9:00am
148,2015-12-08,Ikoyi,Pepperoni Suya,3000,1,08:04:42,Before 9:00am
149,2015-12-15,Lekki,Chicken Suya,4000,3,08:04:43,Before 9:00am
150,2015-12-05,Surulere,Hot Pepperoni Feast,4000,2,08:04:44,Before 9:00am
151,2015-12-14,Ibadan,Chicken Legend,2000,5,08:04:45,Before 9:00am
152,2015-12-04,Surulere,Extravaganza,2000,5,08:04:50,Before 9:00am
153,2015-12-14,Gbagada,Beef Suya,3000,2,08:04:50,Before 9:00am
154,2015-12-10,Lekki,Extravaganza,2000,4,08:04:53,Before 9:00am
155,2015-12-11,Lekki,Pepperoni Suya,3000,2,08:04:55,Before 9:00am
156,2015-12-09,Ibadan,BBQ Philly Steak,4000,3,08:04:56,Before 9:00am
157,2015-12-06,Gbagada,Italiano,3000,1,08:04:56,Before 9:00am
158,2015-12-15,Ikoyi,Extravaganza,2000,1,08:05:00,Before 9:00am
159,2015-12-06,Surulere,BBQ Philly Steak,4000,2,08:05:03,Before 9:00am
160,2015-12-13,Gbagada,Italiano,3000,1,08:05:06,Before 9:00am
161,2015-12-13,Surulere,Chicken Legend,2000,2,08:05:10,Before 9:00am
162,2015-12-07,Ikoyi,Italiano,3000,4,08:05:11,Before 9:00am
163,2015-12-12,Ibadan,Hot Veggie,4000,4,08:05:11,Before 9:00am
164,2015-12-06,Ibadan,Chicken Feast,2000,3,08:05:11,Before 9:00am
165,2015-12-09,Ikoyi,Meatzaa,2000,2,08:05:12,Before 9:00am
166,2015-12-15,Ikoyi,Margarita,4000,5,08:05:12,Before 9:00am
167,2015-12-05,Lekki,Hot Pepperoni Feast,4000,5,08:05:14,Before 9:00am
168,2015-12-12,Ibadan,BBQ Chicken,4000,3,08:05:23,Before 9:00am
169,2015-12-07,Lekki,Hot Pepperoni Feast,4000,5,08:05:23,Before 9:00am
170,2015-12-03,Ikoyi,Chicken Legend,2000,4,08:05:23,Before 9:00am
171,2015-12-13,Surulere,Chicken Bali,2000,3,08:05:25,Before 9:00am
172,2015-12-07,Surulere,Chicken Suya,4000,5,08:05:25,Before 9:00am
173,2015-12-10,Surulere,Hot Pepperoni Feast,4000,4,08:05:25,Before 9:00am
174,2015-12-14,Surulere,Hot Pepperoni Feast,4000,2,08:05:28,Before 9:00am
175,2015-12-14,Gbagada,Chicken Feast,2000,1,08:05:32,Before 9:00am
176,2015-12-12,Lekki,BBQ Chicken,4000,2,08:05:34,Before 9:00am
177,2015-12-06,Ikoyi,Extravaganza,2000,1,08:05:34,Before 9:00am
178,2015-12-05,Ibadan,Meatzaa,2000,2,08:05:34,Before 9:00am
179,2015-12-15,Ikoyi,Pepperoni Feast,4000,3,08:05:37,Before 9:00am
180,2015-12-09,Gbagada,Hot Pepperoni Feast,4000,1,08:05:38,Before 9:00am
181,2015-12-13,Ibadan,BBQ Chicken,4000,3,08:05:39,Before 9:00am
182,2015-12-12,Ibadan,BBQ Chicken,4000,4,08:05:40,Before 9:00am
183,2015-12-11,Ikoyi,Chicken Feast,2000,3,08:05:41,Before 9:00am
184,2015-12-04,Surulere,Beef Suya,3000,1,08:05:41,Before 9:00am
185,2015-12-10,Surulere,Extravaganza,2000,1,08:05:43,Before 9:00am
186,2015-12-06,Surulere,Pepperoni Feast,4000,2,08:05:44,Before 9:00am
187,2015-12-14,Gbagada,Beef Suya,3000,4,08:05:46,Before 9:00am
188,2015-12-11,Surulere,Veggie Supreme,3000,3,08:05:47,Before 9:00am
189,2015-12-10,Gbagada,Meatzaa,2000,5,08:05:51,Before 9:00am
190,2015-12-06,Gbagada,Chicken Bali,2000,3,08:05:53,Before 9:00am
191,2015-12-15,Gbagada,Pepperoni Suya,3000,1,08:05:53,Before 9:00am
192,2015-12-15,Ikoyi,Pepperoni Suya,3000,5,08:05:55,Before 9:00am
193,2015-12-03,Ikoyi,Veggie Supreme,3000,3,08:05:55,Before 9:00am
194,2015-12-12,Gbagada,BBQ Philly Steak,4000,3,08:05:56,Before 9:00am
195,2015-12-03,Gbagada,Margarita,4000,4,08:06:00,Before 9:00am
196,2015-12-13,Lekki,BBQ Chicken,4000,4,08:06:01,Before 9:00am
197,2015-12-10,Lekki,Beef Suya,3000,1,08:06:01,Before 9:00am
198,2015-12-07,Ibadan,BBQ Chicken,4000,1,08:06:03,Before 9:00am
199,2015-12-12,Ikoyi,Beef Suya,3000,4,08:06:07,Before 9:00am
200,2015-12-08,Gbagada,Pepperoni Feast,4000,3,08:06:08,Before 9:00am
201,2015-12-07,Lekki,Hot Pepperoni Feast,4000,2,08:06:10,Before 9:00am
202,2015-12-14,Surulere,Hot Pepperoni Feast,4000,4,08:06:10,Before 9:00am
203,2015-12-05,Gbagada,Pepperoni Feast,4000,3,08:06:12,Before 9:00am
204,2015-12-14,Lekki,Chicken Bali,2000,5,08:06:22,Before 9:00am
205,2015-12-09,Gbagada,BBQ Chicken,4000,5,08:06:22,Before 9:00am
206,2015-12-10,Ikoyi,Chicken Legend,2000,2,08:06:28,Before 9:00am
207,2015-12-07,Ibadan,Hot Veggie,4000,5,08:06:30,Before 9:00am
208,2015-12-10,Ibadan,BBQ Philly Steak,4000,4,08:06:32,Before 9:00am
209,2015-12-12,Ibadan,Margarita,4000,4,08:06:33,Before 9:00am
210,2015-12-03,Ibadan,Meatzaa,2000,1,08:06:33,Before 9:00am
211,2015-12-10,Gbagada,Extravaganza,2000,5,08:06:37,Before 9:00am
212,2015-12-06,Gbagada,Meatzaa,2000,4,08:06:37,Before 9:00am
213,2015-12-09,Gbagada,BBQ Chicken,4000,2,08:06:40,Before 9:00am
214,2015-12-03,Gbagada,Veggie Supreme,3000,3,08:06:45,Before 9:00am
215,2015-12-11,Ikoyi,BBQ Chicken,4000,5,08:06:46,Before 9:00am
216,2015-12-08,Ikoyi,BBQ Philly Steak,4000,2,08:06:46,Before 9:00am
217,2015-12-14,Ikoyi,Margarita,4000,1,08:06:50,Before 9:00am
218,2015-12-11,Ibadan,Hot Veggie,4000,5,08:06:50,Before 9:00am
219,2015-12-08,Gbagada,Chicken Legend,2000,5,08:06:51,Before 9:00am
220,2015-12-10,Ikoyi,Hot Veggie,4000,3,08:06:53,Before 9:00am
221,2015-12-15,Ikoyi,Chicken Legend,2000,5,08:06:54,Before 9:00am
222,2015-12-13,Surulere,Veggie Supreme,3000,4,08:06:55,Before 9:00am
223,2015-12-10,Ikoyi,Pepperoni Suya,3000,3,08:06:57,Before 9:00am
224,2015-12-13,Surulere,Meatzaa,2000,4,08:07:00,Before 9:00am
225,2015-12-03,Gbagada,Chicken Bali,2000,2,08:07:03,Before 9:00am
226,2015-12-12,Ibadan,Veggie Supreme,3000,3,08:07:03,Before 9:00am
227,2015-12-07,Lekki,Hot Pepperoni Feast,4000,5,08:07:04,Before 9:00am
228,2015-12-10,Lekki,BBQ Philly Steak,4000,5,08:07:04,Before 9:00am
229,2015-12-03,Gbagada,Margarita,4000,2,08:07:05,Before 9:00am
230,2015-12-10,Ikoyi,Chicken Legend,2000,3,08:07:05,Before 9:00am
231,2015-12-06,Ibadan,BBQ Chicken,4000,3,08:07:07,Before 9:00am
232,2015-12-05,Lekki,Hot Veggie,4000,1,08:07:07,Before 9:00am
233,2015-12-06,Gbagada,Hot Veggie,4000,3,08:07:16,Before 9:00am
234,2015-12-06,Lekki,Chicken Suya,4000,1,08:07:16,Before 9:00am
235,2015-12-04,Surulere,Pepperoni Feast,4000,3,08:07:21,Before 9:00am
236,2015-12-13,Ikoyi,Hot Pepperoni Feast,4000,3,08:07:21,Before 9:00am
237,2015-12-08,Gbagada,Extravaganza,2000,4,08:07:22,Before 9:00am
238,2015-12-09,Ikoyi,Meatzaa,2000,1,08:07:23,Before 9:00am
239,2015-12-06,Gbagada,Veggie Supreme,3000,4,08:07:23,Before 9:00am
240,2015-12-15,Ibadan,Hot Pepperoni Feast,4000,4,08:07:25,Before 9:00am
241,2015-12-12,Ikoyi,Extravaganza,2000,1,08:07:26,Before 9:00am
242,2015-12-08,Ikoyi,BBQ Chicken,4000,5,08:07:28,Before 9:00am
243,2015-12-05,Gbagada,Extravaganza,2000,3,08:07:30,Before 9:00am
244,2015-12-09,Gbagada,Meatzaa,2000,1,08:07:42,Before 9:00am
245,2015-12-03,Surulere,Hot Pepperoni Feast,4000,3,08:07:42,Before 9:00am
246,2015-12-09,Lekki,Beef Suya,3000,5,08:07:43,Before 9:00am
247,2015-12-10,Surulere,Margarita,4000,3,08:07:46,Before 9:00am
248,2015-12-07,Gbagada,Hot Pepperoni Feast,4000,1,08:07:49,Before 9:00am
249,2015-12-08,Ikoyi,Chicken Bali,2000,4,08:07:49,Before 9:00am
250,2015-12-07,Ikoyi,Meatzaa,2000,2,08:07:50,Before 9:00am
251,2015-12-08,Ikoyi,BBQ Philly Steak,4000,2,08:07:50,Before 9:00am
252,2015-12-05,Lekki,Pepperoni Feast,4000,2,08:07:56,Before 9:00am
253,2015-12-11,Gbagada,Chicken Feast,2000,5,08:07:56,Before 9:00am
254,2015-12-03,Ibadan,Veggie Supreme,3000,5,08:07:59,Before 9:00am
255,2015-12-04,Ikoyi,Pepperoni Feast,4000,4,08:08:01,Before 9:00am
256,2015-12-05,Lekki,Extravaganza,2000,1,08:08:03,Before 9:00am
257,2015-12-07,Lekki,Chicken Bali,2000,5,08:08:04,Before 9:00am
258,2015-12-13,Lekki,Meatzaa,2000,3,08:08:04,Before 9:00am
259,2015-12-04,Ibadan,Pepperoni Feast,4000,4,08:08:11,Before 9:00am
260,2015-12-14,Ibadan,Veggie Supreme,3000,1,08:08:12,Before 9:00am
261,2015-12-09,Gbagada,Hot Veggie,4000,1,08:08:17,Before 9:00am
262,2015-12-06,Gbagada,Italiano,3000,4,08:08:25,Before 9:00am
263,2015-12-05,Lekki,Italiano,3000,3,08:08:25,Before 9:00am
264,2015-12-15,Gbagada,Chicken Legend,2000,3,08:08:27,Before 9:00am
265,2015-12-15,Lekki,Meatzaa,2000,4,08:08:29,Before 9:00am
266,2015-12-14,Ikoyi,BBQ Chicken,4000,1,08:08:31,Before 9:00am
267,2015-12-07,Ikoyi,BBQ Philly Steak,4000,1,08:08:32,Before 9:00am
268,2015-12-06,Surulere,Chicken Suya,4000,2,08:08:33,Before 9:00am
269,2015-12-04,Surulere,Veggie Supreme,3000,4,08:08:34,Before 9:00am
270,2015-12-08,Lekki,Chicken Bali,2000,1,08:08:35,Before 9:00am
271,2015-12-09,Ikoyi,Chicken Suya,4000,4,08:08:39,Before 9:00am
272,2015-12-06,Surulere,Chicken Legend,2000,5,08:08:40,Before 9:00am
273,2015-12-09,Lekki,Pepperoni Suya,3000,2,08:08:40,Before 9:00am
274,2015-12-05,Ibadan,Hot Veggie,4000,2,08:08:42,Before 9:00am
275,2015-12-13,Surulere,BBQ Chicken,4000,5,08:08:45,Before 9:00am
276,2015-12-05,Ibadan,BBQ Chicken,4000,3,08:08:45,Before 9:00am
277,2015-12-13,Ikoyi,Meatzaa,2000,1,08:08:45,Before 9:00am
278,2015-12-12,Ibadan,Chicken Feast,2000,2,08:08:47,Before 9:00am
279,2015-12-14,Ikoyi,Beef Suya,3000,5,08:08:50,Before 9:00am
280,2015-12-04,Surulere,Hot Veggie,4000,2,08:08:53,Before 9:00am
281,2015-12-13,Lekki,Extravaganza,2000,5,08:08:53,Before 9:00am
282,2015-12-12,Ibadan,Pepperoni Feast,4000,4,08:08:57,Before 9:00am
283,2015-12-07,Ibadan,Pepperoni Suya,3000,2,08:09:00,Before 9:00am
284,2015-12-15,Gbagada,Pepperoni Feast,4000,1,08:09:00,Before 9:00am
285,2015-12-05,Surulere,Veggie Supreme,3000,2,08:09:01,Before 9:00am
286,2015-12-03,Gbagada,Chicken Suya,4000,3,08:09:02,Before 9:00am
287,2015-12-05,Ikoyi,Hot Pepperoni Feast,4000,3,08:09:02,Before 9:00am
288,2015-12-11,Gbagada,Chicken Suya,4000,4,08:09:03,Before 9:00am
289,2015-12-06,Ikoyi,Italiano,3000,4,08:09:05,Before 9:00am
290,2015-12-06,Lekki,Hot Veggie,4000,2,08:09:05,Before 9:00am
291,2015-12-12,Ikoyi,Chicken Legend,2000,5,08:09:08,Before 9:00am
292,2015-12-04,Ikoyi,Extravaganza,2000,3,08:09:08,Before 9:00am
293,2015-12-09,Ibadan,Pepperoni Suya,3000,1,08:09:10,Before 9:00am
294,2015-12-05,Gbagada,Chicken Legend,2000,5,08:09:11,Before 9:00am
295,2015-12-11,Lekki,Beef Suya,3000,4,08:09:11,Before 9:00am
296,2015-12-06,Ibadan,Meatzaa,2000,3,08:09:16,Before 9:00am
297,2015-12-12,Lekki,Chicken Bali,2000,1,08:09:20,Before 9:00am
298,2015-12-03,Surulere,Margarita,4000,4,08:09:23,Before 9:00am
299,2015-12-10,Ibadan,Pepperoni Suya,3000,3,08:09:28,Before 9:00am
300,2015-12-11,Lekki,Meatzaa,2000,3,08:09:28,Before 9:00am
301,2015-12-13,Lekki,Veggie Supreme,3000,5,08:09:29,Before 9:00am
302,2015-12-12,Surulere,Hot Veggie,4000,1,08:09:33,Before 9:00am
303,2015-12-07,Surulere,Margarita,4000,4,08:09:33,Before 9:00am
304,2015-12-06,Ibadan,Chicken Legend,2000,3,08:09:37,Before 9:00am
305,2015-12-04,Gbagada,Italiano,3000,2,08:09:39,Before 9:00am
306,2015-12-08,Surulere,BBQ Philly Steak,4000,5,08:09:39,Before 9:00am
307,2015-12-15,Surulere,Beef Suya,3000,2,08:09:41,Before 9:00am
308,2015-12-15,Lekki,BBQ Philly Steak,4000,2,08:09:45,Before 9:00am
309,2015-12-11,Surulere,Beef Suya,3000,2,08:09:46,Before 9:00am
310,2015-12-06,Ikoyi,BBQ Philly Steak,4000,5,08:09:47,Before 9:00am
311,2015-12-09,Gbagada,Italiano,3000,5,08:09:47,Before 9:00am
312,2015-12-03,Gbagada,Veggie Supreme,3000,1,08:09:47,Before 9:00am
313,2015-12-10,Surulere,Hot Veggie,4000,3,08:09:49,Before 9:00am
314,2015-12-05,Ikoyi,Pepperoni Feast,4000,2,08:09:54,Before 9:00am
315,2015-12-14,Gbagada,Hot Veggie,4000,4,08:09:55,Before 9:00am
316,2015-12-08,Gbagada,BBQ Chicken,4000,3,08:09:55,Before 9:00am
317,2015-12-05,Lekki,Hot Pepperoni Feast,4000,5,08:09:59,Before 9:00am
318,2015-12-04,Ikoyi,Margarita,4000,5,08:10:00,Before 9:00am
319,2015-12-15,Surulere,Chicken Feast,2000,5,08:10:08,Before 9:00am
320,2015-12-07,Surulere,BBQ Chicken,4000,4,08:10:08,Before 9:00am
321,2015-12-04,Gbagada,Pepperoni Suya,3000,5,08:10:10,Before 9:00am
322,2015-12-04,Lekki,Chicken Feast,2000,5,08:10:11,Before 9:00am
323,2015-12-05,Surulere,Hot Pepperoni Feast,4000,1,08:10:12,Before 9:00am
324,2015-12-03,Ikoyi,Pepperoni Feast,4000,1,08:10:14,Before 9:00am
325,2015-12-05,Ikoyi,Chicken Legend,2000,1,08:10:15,Before 9:00am
326,2015-12-08,Lekki,Beef Suya,3000,5,08:10:18,Before 9:00am
327,2015-12-05,Surulere,Chicken Bali,2000,2,08:10:18,Before 9:00am
328,2015-12-07,Lekki,Chicken Bali,2000,3,08:10:18,Before 9:00am
